latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
7.59724,-67.01215,304.82,1.03,1.01,2025-04-23,0154,T,60,6.1NRT,289.87,4.35,N
7.53892,-67.71371,306.31,1,1,2025-04-23,0154,T,68,6.1NRT,288.2,5.93,N
7.56661,-67.70861,301.3,1,1,2025-04-23,0154,T,40,6.1NRT,288.43,2.92,N
7.66693,-67.17619,305.67,1.02,1.01,2025-04-23,0154,T,64,6.1NRT,293.15,4.37,N
7.66569,-67.18523,324.09,1.02,1.01,2025-04-23,0154,T,100,6.1NRT,293.99,20.39,N
8.04452,-64.91522,305.27,1.3,1.13,2025-04-23,0154,T,51,6.1NRT,283.54,10.08,N
8.26571,-67.57816,310.4,1.01,1,2025-04-23,0154,T,80,6.1NRT,290.62,7.72,N
8.26447,-67.58709,304.12,1.01,1,2025-04-23,0154,T,59,6.1NRT,290.22,3.74,N
8.54211,-69.69373,303.62,1.06,1.03,2025-04-23,0154,T,56,6.1NRT,287.27,4.9,N
8.54075,-69.70309,306.14,1.06,1.03,2025-04-23,0154,T,67,6.1NRT,288.12,6.45,N
8.61705,-69.23447,326.17,1.03,1.01,2025-04-23,0154,T,100,6.1NRT,291.33,23.51,N
8.61575,-69.24356,323.96,1.03,1.01,2025-04-23,0154,T,100,6.1NRT,291.52,20.95,N
8.62596,-69.23578,303.99,1.03,1.01,2025-04-23,0154,T,58,6.1NRT,291.09,4.23,N
8.63229,-69.25525,332.74,1.03,1.01,2025-04-23,0154,T,100,6.1NRT,291.95,31.93,N
8.631,-69.26434,330.33,1.03,1.01,2025-04-23,0154,T,100,6.1NRT,292.08,28.8,N
8.70231,-69.14525,301.93,1.02,1.01,2025-04-23,0154,T,45,6.1NRT,290.73,3.03,N
8.80134,-69.17187,304.33,1.02,1.01,2025-04-23,0154,T,60,6.1NRT,291.21,4.87,N
9.34865,-66.32224,308.82,1.12,1.06,2025-04-23,0154,T,76,6.1NRT,290.46,8.38,N
9.38388,-66.46483,308.27,1.11,1.05,2025-04-23,0154,T,68,6.1NRT,291.15,7.97,N
9.89661,-65.43453,306.87,1.28,1.12,2025-04-23,0154,T,70,6.1NRT,291.65,7.55,N
9.9065,-65.43582,304.66,1.28,1.12,2025-04-23,0154,T,61,6.1NRT,291.57,5.39,N
9.86344,-65.98616,304.51,1.18,1.08,2025-04-23,0154,T,60,6.1NRT,290.56,5.72,N
10.20718,-64.61319,302.64,1.46,1.19,2025-04-23,0154,T,23,6.1NRT,290.28,5.56,N
39.79856,-74.19772,312.92,1.05,1.02,2025-04-23,0202,T,76,6.1NRT,278.32,13.77,N
39.79706,-74.20965,309.61,1.05,1.02,2025-04-23,0202,T,68,6.1NRT,277.21,11.33,N
39.80753,-74.19962,309.11,1.05,1.02,2025-04-23,0202,T,43,6.1NRT,277.99,10.58,N
39.80603,-74.21156,317.63,1.05,1.02,2025-04-23,0202,T,95,6.1NRT,277.99,18.02,N
39.7925,-74.31857,315.95,1.04,1.02,2025-04-23,0202,T,71,6.1NRT,276.21,16.46,N
39.82921,-74.2473,301.08,1.05,1.02,2025-04-23,0202,T,17,6.1NRT,274.46,6.55,N
39.82772,-74.25922,305.38,1.05,1.02,2025-04-23,0202,T,64,6.1NRT,274.97,9.64,N
39.82624,-74.27113,303.63,1.04,1.02,2025-04-23,0202,T,48,6.1NRT,274.75,8.23,N
39.82328,-74.2949,302.75,1.04,1.02,2025-04-23,0202,T,12,6.1NRT,274.46,7.22,N
39.81882,-74.33054,310.51,1.04,1.02,2025-04-23,0202,T,62,6.1NRT,274.97,12.69,N
39.51379,117.14184,308.51,1.76,1.3,2025-04-23,0230,T,22,6.1NRT,294.21,9.96,D
41.03206,107.42736,307.43,1.22,1.1,2025-04-23,0230,T,42,6.1NRT,285.73,6.49,D
40.10313,113.88789,309.03,1.17,1.08,2025-04-23,0230,T,52,6.1NRT,295.66,4.48,D
39.35905,117.73145,311.34,1.92,1.35,2025-04-23,0230,T,36,6.1NRT,297.68,13.31,D
40.12118,113.38213,309.6,1.12,1.05,2025-04-23,0230,T,51,6.1NRT,293.48,5.96,D
40.62168,109.74511,310.83,1.02,1.01,2025-04-23,0230,T,43,6.1NRT,292.56,5.82,D
39.40029,116.168,308.91,1.55,1.23,2025-04-23,0230,T,40,6.1NRT,295.44,5.63,D
40.16468,111.41117,309.8,1.01,1,2025-04-23,0230,T,50,6.1NRT,294.75,3.71,D
39.77649,113.32726,314.07,1.12,1.06,2025-04-23,0230,T,63,6.1NRT,295.45,7.03,D
39.98997,111.57998,314.52,1.01,1.01,2025-04-23,0230,T,63,6.1NRT,295.29,7.65,D
39.03102,116.68169,315.19,1.69,1.28,2025-04-23,0230,T,12,6.1NRT,301.8,14.56,D
38.97177,115.8398,312.84,1.52,1.22,2025-04-23,0230,T,35,6.1NRT,299.03,11.23,D
39.56895,112.31968,309.06,1.05,1.02,2025-04-23,0230,T,31,6.1NRT,294.91,2.61,D
39.40256,112.83136,313.19,1.09,1.04,2025-04-23,0230,T,41,6.1NRT,296.68,7.27,D
38.485,115.81728,312.93,1.55,1.23,2025-04-23,0230,T,56,6.1NRT,297.56,11.24,D
38.43325,114.54092,316.46,1.33,1.14,2025-04-23,0230,T,67,6.1NRT,300.73,9,D
38.30482,115.01869,309.92,1.42,1.18,2025-04-23,0230,T,42,6.1NRT,298.03,8.64,D
38.30303,114.39937,313.65,1.31,1.14,2025-04-23,0230,T,47,6.1NRT,299.67,7.41,D
38.02103,115.65483,312.09,1.56,1.23,2025-04-23,0230,T,41,6.1NRT,300.58,11.63,D
38.15768,114.80124,314.07,1.39,1.17,2025-04-23,0230,T,50,6.1NRT,301.91,10.07,D
37.84363,116.04204,311.16,1.65,1.26,2025-04-23,0230,T,41,6.1NRT,299.05,11.53,D
37.48605,115.53336,310.58,1.57,1.24,2025-04-23,0230,T,26,6.1NRT,299.19,10.28,D
37.48378,115.52622,311.54,1.57,1.24,2025-04-23,0230,T,31,6.1NRT,299.06,11.7,D
37.16066,117.11381,308.54,2,1.38,2025-04-23,0230,T,41,6.1NRT,297.64,13.4,D
36.87084,117.23818,310.08,2.07,1.4,2025-04-23,0230,T,51,6.1NRT,298.04,11.52,D
36.86622,117.26012,309.5,2.07,1.4,2025-04-23,0230,T,46,6.1NRT,296.62,10.35,D
36.87443,117.1004,317.34,2.02,1.39,2025-04-23,0230,T,60,6.1NRT,293.77,29.96,D
36.88244,117.09723,316.04,2.02,1.39,2025-04-23,0230,T,70,6.1NRT,293.22,28.02,D
36.87057,117.09339,314.67,2.02,1.39,2025-04-23,0230,T,56,6.1NRT,293.85,24.43,D
36.98454,115.07744,320.38,1.52,1.22,2025-04-23,0230,T,30,6.1NRT,304.67,19.55,D
36.9264,114.65374,317.13,1.44,1.19,2025-04-23,0230,T,39,6.1NRT,304.77,14.33,D
36.33107,116.55116,306.42,1.93,1.36,2025-04-23,0230,T,27,6.1NRT,291.85,11.13,D
